ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
140,D.S. & Durga,Italian Citrus,Zitrisch,Aromatisch / Holzig,"Kopf: Kaltgepresste Zitrone, Chinotto, Blutorange
Herz: Grüne Mandarine, Veilchenblatt, Weihrauch
Basis: Copaiba‑Balsam, Moschus‑Ambrette, Eichenmoos","zitrisch, bitter, grün, balsamisch","frisch, mediterran, kraftvoll","Küstenstraße an der italienischen Riviera mit Zitronen, Chinotto und Kräutern","Alltag, Büro, Sommerabende","Frühling, Sommer",5–7 h,moderat,fünf unterschiedliche Zitrusfrüchte sorgen für langanhaltende Colonia‑Frische,D.S. & Durga,Italian Citrus,0.60,Geht so,Parfums Lubner,,
141,Miller Harris,Terre d’Iris,Chypre,Floral / Zitrisch,"Kopf: Mandarine, Bergamotte, Lavendel
Herz: Iris, Ylang‑Ylang, Narzisse, Feige
Basis: Patchouli, Atlas-Zeder, Eichenmoos","zitrisch, blumig, holzig","elegant, pudrig, mediterran",Toskana-Landschaft im Frühling; Irisfelder und Zitronenhaine,"Alltag, Business","Frühling, Sommer",6–7 h,moderat,interpretiert klassisches Eau de Cologne mit einem intensiven Iris-Herz,Miller Harris,Terre d’Iris,,,?,nicht im Alsterhaus gefunden,
142,D.S. & Durga,Debaser,Holzig,Fruchtig / Grün,"Kopf: Bergamotte, grünes Blatt, Birnenstängel
Herz: Feige, Kokosmilch, Iris
Basis: Blonde Hölzer, Tonkabohne, Moos","süß‑fruchtig, cremig, holzig, grün","verspielt, exotisch, sommerlich",Retro‑Surfshop mit Feigen und Kokosmilch an einem warmen Sommertag,"Freizeit, Festival, Strand","Frühling, Sommer",5–7 h,moderat,ungewöhnliche Kombination aus Feige und Kokosmilch mit holzigem Abgang,D.S. & Durga,Debaser,0.75,"Frisch, fruchtig, leicht, eintoenig",Parfums Lubner,,
143,Heeley,Verveine d’Eugène,Zitrisch,Aromatisch / Grün,"Kopf: Rhabarber, Bergamotte, Kardamom
Herz: Eisenkraut, Schwarze Johannisbeere, Jasmin
Basis: Weißer Moschus","frisch, grün, zitrisch, fruchtig","lebendig, klar, unbeschwert",ein Glas Zitronenverbena-Tee mit Rhabarberschnitzen im Kräutergarten,"Alltag, Büro","Frühling, Sommer",4–6 h,moderat,lebendige Verbindung von Rhabarber und Verbene,Heeley,Verveine d’Eugène,,,Parfums Lubner,,
144,Hermès,Eau de Citron Noir,Zitrisch,Aromatisch / Rauchig,"Kopf: Schwarze Zitrone
Herz: Schwarzer Tee
Basis: Gaiac‑Holz","zitrisch, rauchig, holzig, trocken","herb, geheimnisvoll, unkonventionell",getrocknete Limette und schwarzer Tee in einem orientalischen Teesalon,"Büro, Reise, Freizeit","Frühling, Herbst",4–6 h,leicht,setzt rare schwarze Zitrone ein; cologneartige Zitrusfrische mit dunklem Tee,Hermès,Eau de Citron Noir,0.75,"Zitrone, Zitronenschale, schön frisch",Alsterhaus,,
145,Le Labo,Matcha 26,Fougère,Grün / Holzig / Tee,"Kopf: Bitterorange
Herz: Matcha‑Tee, Feige
Basis: Vetiver, Zedernholz","grün, cremig, süß‑holzig","meditative, warme, natürliche Ruhe",Teezeremonie mit Matcha und Feigen auf einem Holztablett,"Alltag, Ruhe, Yoga","Frühling, Herbst",6–7 h,moderat,verbindet Matcha‑Tee mit Feigen und Vetiver in einem beruhigenden Duft,Le Labo,Matcha 26,0.50,Süß cremig,Alsterhaus,,
146,Le Labo,Lavande 31,Fougère,Aromatisch / Orientalisch,"Kopf: Neroli, Bergamotte
Herz: Lavendel
Basis: Tonkabohne, Amber, Moschus","frisch, floral, cremig, würzig","elegant, minimalistisch, modern",Provenzalischer Lavendelhain mit Neroli‑Wind und warmer Tonka,"Alltag, Büro, Frühlingstage","Frühling, Sommer, Herbst",5–7 h,moderat,moderne Lavendel‑Neuinterpretation mit Neroli und samtigem Tonka‑Abgang,Le Labo,Lavande 31,0.30,Seifig süß ,Alsterhaus,,
147,Maison Margiela,Beach Walk,Floral,Fruchtig / Solar,"Kopf: Bergamotte, Zitrone, Rosa Pfeffer
Herz: Ylang‑Ylang, Kokosnussmilch, Heliotrop
Basis: Moschus, Zeder, Benzoe","frisch, cremig, floral, sonnig","unbeschwert, sommerlich, sanft","barfuß am Meer entlang, Sonnenschutz und Kokoswasser auf der Haut","Freizeit, Urlaub",Sommer,5–7 h,moderat,"„Replica“-Duft, der das Gefühl eines Strandspaziergangs einfängt",Maison Margiela,Beach Walk,,,tryasample,,
148,Maison Margiela,Whispers in the Library,Orientalisch,Holzig / Vanille,"Kopf: Rosa Pfeffer, Orangenblüte
Herz: Zedernholz, Patschuli, Benzoe
Basis: Vanille, Guajakholz, Tonkabohne","süß, holzig, vanillig, rauchig","nostalgisch, behaglich, literarisch",leise Geräusche in einer alten Bibliothek; Duft von poliertem Holz und Vanille,"Alltag, Studium, ruhige Abende","Herbst, Winter",6–8 h,moderat,"„Replica“–Duft, der die Atmosphäre alter Bibliotheken einfängt",Maison Margiela,Whispers in the Library,0.20,"viel zu suess, kopfscherz, marshmellow milch",tryasample,,
149,État Libre d’Orange,The Ghost in the Shell,Zitrisch,Aromatisch / Fruchtig-Synthetisch,"Kopf: Aqual™, Yuzu, Hexylacetat
Herz: Jasmin‑Absolue, Mugane™, Milch‑Haut‑Akkord
Basis: Moos‑Akkord, Vinyl Guaiacol, Orcanox™","zitrisch, metallisch, milchig, modern","kühl, avantgardistisch, minimalistisch","Cyborg nach der Dusche – metallische Haut, milchige Wärme und Yuzu","Kunst‑Events, Clubs, kreative Treffen",Ganzjährig,6–8 h,moderat,inspiriert vom gleichnamigen Anime; setzt Biotech‑Moleküle und milchige Hautakkorde ein,État Libre d’Orange,The Ghost in the Shell,0.50,"Zu süß, synthetisch, zitronig",Parfums Lubner,,
150,État Libre d’Orange,Jasmin et Cigarette,Floral,Rauchig / Tabak,"Kopf: Muskatellersalbei, Galbanum
Herz: Jasmin‑Absolue, Kurkuma
Basis: Maté‑Absolue, Tonkabohne","rauchig, floral, grün, würzig","provokativ, retro, bohemian","alte Filmdiva mit Zigarette und Jasmin im Haar, Café Rauchschwaden","Abend, Künstler‑Events","Herbst, Winter",6–8 h,moderat,"sinnliche Kombination aus Jasmin und Tabakton, kultiger Nischenduft",État Libre d’Orange,Jasmin et Cigarette,0.75,"interessant, pudrig floral und rauchig, wie im urlaub auf kreta als kind",Parfums Lubner,,
151,By Kilian,Back to Black (Aphrodisiac),Orientalisch,Tabak,"Noten: Honig, Kamille, Zedernholz, Weihrauch, Sandelholz, Rauch, Gewürze, Vanille‑Absolue","süß, würzig, rauchig, harzig","verführerisch, dunkel, opulent",Rauchige Honig‑Teestube – Tabakpfeifen und orientalische Gewürze,"Abend, Date, Party","Herbst, Winter",8–10 h,stark,opulenter Honig‑Tabak‑Duft; aphrodisierender Klassiker,By Kilian,Back to Black (Aphrodisiac),0.40,"Honig, rum, angenehm süß, würzig, schwächer bald",Alsterhaus,,
152,Parfums de Marly,Herod,Orientalisch,Tabak / Vanille / Würzig,"Kopf: Zimt, Pfefferholz
Herz: Osmanthus, Tabakblatt, Labdanum, Weihrauch
Basis: Vanille, Zedernholz, Vetiver, Patchouli, Moschus","süß, rauchig, würzig, holzig","warm, luxuriös, maskulin","edles Raucherzimmer – Zigarren, Holzpolster und würzige Vanille","Abend, Winter, besondere Anlässe","Herbst, Winter",8–10 h,stark,reichhaltiger Tabak‑Vanille‑Duft; beliebter Signature‑Scent,Parfums de Marly,Herod,0.40,zu suess,Alsterhaus,,
153,Ormonde Jayne,Montabaco Cuba,Holzig,Aromatisch / Tabak / Tee,"Kopf: Mandarine, Bergamotte, Orangen‑Absolue, Freesie, Wacholder
Herz: Trockene Hölzer, Magnolie, Jasmin, Tee
Basis: ISO‑E‑Super, Sandelholz, Wildleder, Vanille‑Absolue, Ambergris, Tabak, Tonkabohne","zitrisch, holzig, rauchig, süß","südamerikanisch, entspannt, elegant",Fahrt im Oldtimer durch Havanna – Zigarrenrauch und warme Zitrusluft,"Abend, Statement","Herbst, Winter",8–9 h,stark,lebendige Zitrusfrische trifft auf rauchigen Tabak und Iso‑E‑Super,Ormonde Jayne,Montabaco Cuba,0.90,Am Ende vllt zu schwer?,Parfums Lubner,,
154,Diptyque,Volutes (EdT),Orientalisch,Tabak / Würzig,"Kopf: Tabak, Iris, Honig, Trockenfrüchte
Herz: Heu, Immortelle, Safran, Rosa Pfeffer, Schwarzer Pfeffer
Basis: Benzoe, Opoponax, Myrrhe, Styrax, Vanille","süß‑würzig, pudrig, rauchig","nostalgisch, warm, weich","Seereise auf einem Dampfschiff, Tabakschwaden, Trockenfrüchte und Honigkuchen","Alltag, Abend","Herbst, Winter",6–8 h,moderat,kombiniert blondes Tabakblatt mit Honig und würziger Immortelle,Diptyque,Volutes (EdT),,,"Alsterhaus, Parfums Lubner",,
155,Ormonde Jayne,Verano,Floral,Fruchtig / Zitrisch,"Kopf: Luft‑Akkord, Grapefruit, Wacholder, Orangen‑Absolue, Bergamotte, Kardamom, Muskatellersalbei
Herz: Tee, Hedione, Magnolie, Rose, Veilchen
Basis: ISO‑E‑Super, Tabak, Cashmeran, Wildleder, Moos, Sandelholz, Ambergris, Tonkabohne","frisch, aromatisch, zitrisch, tabak","dynamisch, modern, leger","Sommerabend am Meer – kühle Brise, Zitrusfrüchte und Teeblätter","Alltag, Büro, Freizeit","Frühling, Sommer",6–7 h,moderat,verbindet Luft‑ und Teeakkorde mit Tabak und Wildleder,Ormonde Jayne,Verano,0.40,"Süß, zitrisch-ledrig, nicht schön ",Parfums Lubner,,
156,Miller Harris,Feuilles de Tabac,Holzig,Tabak / Würzig,"Kopf: Bergamotte, Salbei, Piniennadel
Herz: Cascarilla-Rinde, Pimentbeere
Basis: Patchouli, Tonkabohne, Tabakblatt","würzig, rauchig, harzig, grün","bohemian, warm, rustikal","Künstlercafé: Tabakrauch, Pinienharz und Gewürzkräuter vereinen sich","Abend, Freizeit","Herbst, Winter",6–8 h,moderat,kombiniert Piniennadeln und Tabak mit Gewürzrinde,Miller Harris,Feuilles de Tabac,0.30,"Würzig, wie ätherisches Öl vllt, sowas mag ich nicht",Alsterhaus,,
157,Berdoues,Assam of India,Zitrisch,Holzig / Tee,"Kopf: Zitrone 
Herz: Indischer Tee (Assam) 
Basis: Sandelholz",,"Erfrischend, klassisch",Earl Grey bei grünem Licht,"Alltag, Sommer",Sommer,4–6 h,dezent,"Klarer Tee-Zitrusduft mit sanfter, erdiger Tiefe",Berdoues,Assam of India,,,?,,
158,Fragrance du Bois,Minuit et Demi,Orientalisch,Gourmand / Tabak / Würzig,"Kopf: Kardamom, Piment, Bergamotte
Herz: Karamell, Kaffee
Basis: Cashmeran, Moschus, Tabak Bourbon, Vanille, Zedernholz, Vetiver","warm, würzig, gourmand, holzig","sinnlich, gemütlich, luxuriös",Mitternachtsdessert: Karamell und Kaffee im Kerzenlicht mit Gewürzen,"Abend, Date, besondere Anlässe","Herbst, Winter",6–8 h,moderat,Kollaboration mit Demi Rawling; einzigartige Karamell-Kaffee-Melange,Fragrance du Bois,Minuit et Demi,0.6,Anfangs schön frisch aber später süßes Kaugummi ,Parfums Lubner,,
159,27 87,Wandervogel,Fougère,Aromatisch / Grün,"Kopf: Minze, Shiso‑Blätter, Meeresakkord
Herz: Anis, Fenchel, Weiße Blüten
Basis: Moschus, Sand‑Akkord","frisch, krautig, maritim, würzig","luftig, abenteuerlustig, unkonventionell","Küstenwanderung – Seeluft, grüne Kräuter und warmer Sand","Freizeit, Reisen","Frühling, Sommer",5–7 h,moderat,Shiso‑Blätter und Sand‑Akkord verleihen luftige Nomaden‑Ästhetik,27 87,Wandervogel,0.65,Anfangs schön frisch aber später Pfefferminzkaugummi,Parfums Lubner,,
160,Marc Gebauer / Azya,Jalua,Gourmand,Orientalisch,"Kopf: Kaffee, Safran, Bergamotte, Schwarzer Pfeffer
Herz: Magnolie, Jasmin, Iris
Basis: Moschus, Vanille, Amber, Leder, Sandelholz, Benzoe","süß, warm, würzig, ledrig","luxuriös, geheimnisvoll, raffiniert","orientalisches Kaffeehaus – Gewürze, Blüten und weiches Leder","Abend, besondere Anlässe","Herbst, Winter",7–9 h,stark,vereint Kaffee und Leder mit floralen Herzen; unisex‑Luxus,Marc Gebauer / Azya,Jalua,0.40,Wird zu ledrig holzig ,Parfums Lubner,,
161,Legendary Fragrances,Barista,Gourmand,Vanille,"Kopf: Espresso, Mandarine, Kardamom
Herz: Karamell, Tonkabohne, Geröstete Haselnuss
Basis: Schokolade, Sandelholz, Vanille","süß, kaffeeartig, gourmand","gemütlich, verführerisch, winterlich",gemütliches Café an einem kalten Morgen; frisch geröstete Bohnen und süße Cremes,"Abend, Winter, Genussmomente","Herbst, Winter",6–8 h,moderat,starker Espresso trifft auf Karamell und geröstete Nüsse,Legendary Fragrances,Barista,,,?,,
162,Maison Crivelli,Bois Datchaï,Holzig,Fruchtig / Tee / Würzig,"Noten: Schwarzen Johannisbeerknospen-Absolue, Zeder, Schwarzer Tee, Leder, Patchouli, Zimt","holzig, fruchtig, würzig, grün","rauchig, warm, mystisch",Waldspaziergang im Herbst mit frischgeschnittenem Holz und säuerlichen Beeren,"Abend, Statement","Herbst, Winter",6–7 h,moderat,"einzigartige Mischung aus unreifer Johannisbeere, Tee und Leder",Maison Crivelli,Bois Datchaï,0.6,"Erst zitrisch, dann trocken sauer beerig",Parfums Lubner,,
163,Parfums de Nicolai,Cuir Cuba Intense,Ledrig,Spirituosen / Tabak / Würzig,"Kopf: Lakritze, Sternanis, Minze, Sizilianische Zitrone
Herz: Lavendel, Kreuzkümmel, Koriander, Ylang-Ylang, Magnolie, Geranie
Basis: Patchouli, Zeder, Heu, Tonkabohne, Tabak","würzig, ledrig, rauchig, gourmand","rau, dunkel, würzig-süß","kubanische Zigarrenlounge mit Lakritze, Kräutern und Tabakrauch","Abend, Lounge","Herbst, Winter",8 h+,stark,verbindet Lakritze und Anis mit Tabak und floralen Noten,Parfums de Nicolai,Cuir Cuba Intense,0.35,Zu süß ,Parfums Lubner,,
164,D.S. & Durga,Jazmín Yucatán,Floral,Harzig / Holzig,"Kopf: Bergamotte, Wasserpflanzen, Kaktusfrucht
Herz: Jasmin‑Absolue, Passionsblume, Nelke, Snake‑Plant, Yucatán‑Lilie
Basis: Copalharz, Vanille, Vetiver, Amber, Olibanum","floral, exotisch, harzig, animalisch","wild, mystisch, tropisch",dampfender Dschungel in Yucatán – blühender Jasmin und süßer Copalrauch,"Abend, Sommerfeste","Sommer, Frühling",6–8 h,moderat,einzigartige Mischung aus mexikanischem Copalharz und tropischem Jasmin,D.S. & Durga,Jazmín Yucatán,0.75,"Jasmintee, sehr schön, etwas dezent, leicht pudrig, langweilig",Parfums Lubner,,
165,Serge Lutens,Ambre Sultan,Orientalisch,Harzig / Würzig,"Kopf: Lorbeerblatt, Oregano, Koriander
Herz: Labdanum, Patchouli, Kräuterakkorde
Basis: Amber, Vanille, Sandelholz","warm, harzig, würzig, süß","opulent, mystisch, orientalisch","Gewürzbasar in Marrakesch, warme Harze und süßer Amber","Abend, besondere Anlässe","Herbst, Winter",8–12 h,stark,ikonischer Amberduft mit würzigem Kräuterauftakt,Serge Lutens,Ambre Sultan,0.5,"Salziges Lakritz leicht, süß, würzig, langweilig",Alsterhaus,,
166,Andrea Maack,Coven,Holzig,Erdig / Grün,"Kopf: Grünblätter, Kräuter, Kiefernadeln
Herz: Erde, Patchouli, Moos
Basis: Weihrauch, Teer, Leder","erdig, krautig, rauchig","dunkel, mystisch, naturverbunden","tiefer Wald nach Regen, feuchte Erde und Rauch von Lagerfeuern","Abend, Outdoor, Meditation","Herbst, Winter",7–9 h,stark,nischig und eigenwillig; verbindet Waldnoten mit dunklem Rauch,Andrea Maack,Coven,,,?,,
167,Creed,Centaurus,Fougère,Amber / Aromatisch,"Kopf: Kardamom, Zimt, Tabak, Rosa Pfeffer
Herz: Geranie, Sandelholz, Heliotrop, Jasmin, Patchouli
Basis: Benzoin, Tolu-Balsam, Tonkabohne, Ambroxan, Vanille","warm, würzig, ambriert, vanillig","opulent, kraftvoll, sinnlich","sternenklare Nacht mit Gewürzen, Tabak und goldener Vanille","Abend, formelle Anlässe","Herbst, Winter",8–10 h,stark,neue Kreation aus der „Astrologie“-Reihe; mischt kräftigen Tabak und Patchouli mit süßem Balsam,Creed,Centaurus,0.40,"suess, warm, spicy, dann komisch, nicht mein stil",Alsterhaus,,
168,Creed,Delphinus,Zitrisch,Aromatisch / Holzig,"Kopf: Mandel, Rosa & Schwarzer Pfeffer, Weihrauch
Herz: Organgenbutter (Orris), Heliotrop, Orchidee
Basis: Bourbon‑Vanille, Tonkabohne, Amberholz, Leder‑Akkord, Patchouli","süß, cremig, würzig, gourmand, pudrig","elegant, gourmand, sinnlich",sternenklare Nacht mit cremigem Mandeldessert und Weihrauch,"Abend, Date, besondere Anlässe","Herbst, Winter",7–8 h,moderat,"ungewöhnliche Kombination aus Mandel und Iris, veredelt mit Weihrauch und Vanille",Creed,Delphinus,0.20,"erst bonbon, dann gummi/leder",Alsterhaus,,
169,Creed,Fragaria,Floral,Fruchtig / Moschus,"Kopf: Mandarine, Bergamotte, Rosa Pfeffer
Herz: Erdbeere, Veilchen
Basis: Vetiver, Zedernholz","fruchtig, grün, süß, holzig","verspielt, lebhaft, frisch",Erdbeerfelder und Orangenhaine bei Sonnenaufgang,"Alltag, Freizeit","Frühling, Sommer",5–7 h,moderat,ungewöhnliche Kombination aus Erdbeere und Zitrus mit holziger Basis,Creed,Fragaria,0.20,super suesse erdbeere,Alsterhaus,,
170,Creed,Eladaria,Chypre,Floral / Holzig,"Kopf: Mandarine, Bergamotte, Rosa Pfeffer
Herz: Trio aus Rose, Pfingstrose, Maiglöckchen, pudrige Noten
Basis: Moschus, Vanille, Ambroxan, Cashmereholz","frisch, blumig, pudrig, weich","strahlend, feminin, sanft",erwachender Rosengarten im Morgentau mit weichem Moschus,"Alltag, besondere Momente","Frühling, Sommer",6–8 h,moderat,drei verschiedene Rosenarten treffen auf pudrige Vanille,Creed,Eladaria,0.10,"suess, rosig, alte frau",Alsterhaus,,
171,Van Cleef & Arpels,Bois Doré,Orientalisch,Holzig / Tabak / Vanille,"Kopf: Schwarzer Pfeffer, Mineralische Noten
Herz: Vanille, Mandel, Tabak, Zedernholz
Basis: Tonkabohne, Teakholz, Moschus","süß, nussig, warm, holzig","gemütlich, elegant, einhüllend","goldene Holzmaserung, darüber Vanille und geröstete Mandeln","Abend, Alltag","Herbst, Winter",6–8 h,moderat,cremiger Tonkabohnenduft mit mineralischem Pfefferauftakt,Van Cleef & Arpels,Bois Doré,0.40,"suess, mandelig, gewuerzig",Alsterhaus,,
172,Escentric Molecules,Molecule 01,Holzig,Minimalistisch / Moschus,Lineare Note: ISO‑E‑Super (Cetalox),"transparent, holzig, warm, zedrig","minimalistisch, hautnah, modern",sauberer warmer Hautduft – wie gepflegte Haut und frisches Holz,"jedes Umfeld, Layering",Ganzjährig,4–8 h,moderat,"besteht aus einem einzigen Molekül, das sich auf jeder Haut anders entfaltet",Escentric Molecules,Molecule 01,0.50,"gin tonic, mandel, praktisch nicht wirklich wahrnehmbar, spaeter holzig",Alsterhaus,,
173,Mr Marvis,Club Marevista,Aquatisch,Aromatisch / Zitrisch,"Kopf: Bergamotte, Elemi-Harz
Herz: Meeresnoten
Basis: Zedernholz, Eichenmoos","frisch, maritim, grün, holzig","sportlich, kühl, entspannt","mediterrane Küstenpromenade: Pinien, Meerbrise und Zitrus","Freizeit, Urlaub","Frühling, Sommer",5–7 h,moderat,erste Duftkreation der Modemarke; verbindet maritimen Akkord mit warmem Moos,Mr Marvis,Club Marevista,0.60,"aquatisch, frisch, austauschbar",?,,
174,Le Labo,Thé Noir 29 (EdP),Fougère,Holzig / Tee / Würzig,"Noten: Schwarzer Tee, Feige, Lorbeerblatt, Zedernholz, Moschus, Vetiver, Bergamotte","rauchig, grün, würzig, holzig","elegant, tiefgründig, introspektiv","holzige Bibliothek mit Tee und getrockneten Feigen, Nebel an einem Regentag","Büro, Abend, ruhige Momente","Herbst, Winter, Frühling",7–8 h,moderat,raffinierter Schwarztee-Duft mit Feige und Lorbeer,Le Labo,Thé Noir 29 (EdP),0.60,"Schwarzer Tee, langweilig",Alsterhaus,,
175,Mind Games,Blockade,Orientalisch,Leder / Tabak,"Kopf: Mangoschale, Rosa Pfeffer, Tomatenblatt, Bergamotte
Herz: Lavendel, Mangoblüte, Wässrige Cyclamen, Sternanis
Basis: Wildleder, Oud, Patchouli, Amber, Moschus, Leder","exotisch, süß, würzig, ledrig","abenteuerlich, dynamisch, modern",tropisches Schachspiel – reife Mango und Gewürze auf weichem Wildleder,"Abend, Statement","Herbst, Winter",8 h+,stark,ungewöhnliche Mango-Leder-Kombination im Schach-inspirierten Konzept,Mind Games,Blockade,0.75,"Hell fruchtig, frisch, später seifig, nicht ganz ueberzeugend",Parfums Lubner,,
176,Valentino,Uomo Born in Roma Green Stravaganza,Fougère,Grün / Holzig,"Kopf: Kalabrische Bergamotte, grüne Noten
Herz: Kaffee‑Akkord, aromatische Kräuter
Basis: Vetiver, Leder, warme Harze","zitrisch, kaffeeartig, grün, süß-würzig","modern, energetisch, urban",ein Espresso im grünen Garten Roms am Morgen,"Alltag, Freizeit, Büro","Frühling, Sommer, Herbst",ca. 6–8 h,moderat,kombiniert frische Fougère‑Zitrusnoten mit dunklem Kaffee,Valentino,Uomo Born in Roma Green Stravaganza,,,"Alsterhaus, Douglas EEZ, Douglas Jungfernstieg",,
177,Serge Lutens,Chergui,Orientalisch,Tabak / Würzig,"Kopf: Heu, Immortelle (Strohblume)
Herz: Honig, Iris, Rose
Basis: Tabakblatt, Amber, Moschus, Sandelholz, Weihrauch","süß, würzig, rauchig, warm","sinnlich, exotisch, opulent","heißer Wüstenwind, duftender Honig, Tabak und getrocknetes Gras","Abend, romantische Momente","Herbst, Winter",8 h+,stark,kultiger Tabak‑Honig‑Amber‑Duft; benannt nach dem warmen marokkanischen Chergui‑Wind,Serge Lutens,Chergui,0.50,Kopfschmerz süß,Alsterhaus,,
178,Ormonde Jayne,Montabaco,Holzig,Aromatisch / Leder / Tabak,"Kopf: Kardamom, Muskatellersalbei, Wacholder, Luftakkord, Bergamotte, Orangen-Absolue
Herz: Hedione, Magnolia, Tee, Rose, Veilchen
Basis: ISO‑E‑Super, Moos, Wildleder, Ambergris, Tabak, Tonkabohne, Sandelholz","ledrig, tabak, holzig, aromatisch","exotisch, verführerisch, lateinamerikanisch","lateinamerikanisches Hochland: Tabakplantage, Lederwaren und kühler Bergwind","Abend, Statement","Herbst, Winter",8–9 h,stark,"markante Mischung aus Leder, Tabak und ISO‑E‑Super; Teil der „Four Corners“‑Serie",Ormonde Jayne,Montabaco,0.50,"Wie Montabaco Cuba aber ohne zitrisch, ohne Tabak ",Parfums Lubner,,
179,État Libre d’Orange,Nostos,Orientalisch,Harzig / Weihrauch,"Kopf: Weihrauch, Mandarine, Safran
Herz: Türkische Rose (Essenz & Absolue), Jasmin-Absolue, Oud-Akkord
Basis: Sandelholz-Weihrauch, Georgywood, Wildleder, Moschus, Amber","rauchig, rosig, harzig, ledrig","geheimnisvoll, nostalgisch, reich","alter Tempel – Duft von Weihrauch, dunklem Holz, Rosen und weichem Leder","Abend, Meditation","Herbst, Winter",8–10 h,stark,moderne Ode an Erinnerung; kombiniert Oud und Rose mit rauchigem Weihrauch,État Libre d’Orange,Nostos,0.40,"leichter weihrauch, rosig",Parfums Lubner,,
180,Nasomatto,Black Afgano,Holzig,Harzig / Rauchig / Tabak,"Kopf: Cannabis, grüne Noten
Herz: Harze, Kaffee, Tabak, Holznoten
Basis: Oud, Weihrauch, dunkle Hölzer","rauchig, harzig, krautig, animalisch","geheimnisvoll, intensiv, dunkel",orientalische Rauchschwaden mit Kaffee und harzigen Kräutern,"Abend, Statement","Herbst, Winter",10 h+,sehr stark,ikonischer Extrait mit Cannabis‑ und Harznoten; lang anhaltend und kernig,Nasomatto,Black Afgano,,,"Parfums Lubner, Alsterhaus",wichtig,
181,By Kilian,Intoxicated,Orientalisch,Gourmand / Würzig,"Lineare Noten: Grüner Kardamom und Kardamom‑Absolue, Karamell, Mokka, Vanille, Zimt, Muskatnuss","süß, würzig, kaffeelastig, gourmand","verführerisch, wärmend, luxuriös",türkischer Kaffee mit Kardamom und Karamell in einer opulenten Lounge,"Abend, Date","Herbst, Winter",8 h+,stark,süchtig machendes Kaffee‑Kardamom‑Profil aus der „Addictive State of Mind“-Serie,By Kilian,Intoxicated,,,Alsterhaus,,
182,Sisley,Eau de Campagne,Chypre,Grün / Kräutrig,"Kopf: Bergamotte, Zitrone, Basilikum, Galbanum, Kräuter 
Herz: Tomatenblatt, Jasmin, Geranie, Maiglöckchen, Pflaume 
Basis: Moos, Vetiver, Patchouli, Moschus",,"Frisch, grün, lebendig",Sommerwiese nach dem Regen,"Alltag, Sommer","Frühling, Sommer",6 h,dezent,Klassischer grüner Duft mit markantem Tomatenblatt-Akkord,Sisley,Eau de Campagne,0.70,"Ganz leicht seifig, linear aber vielseitig ","Alsterhaus, Douglas EEZ, Douglas Jungfernstieg",,todo
183,L’Artisan Parfumeur,Tea for Two,Orientalisch,Rauchig / Tee / Würzig,"Kopf: Sternanis, Enzian, Bergamotte, Orangenblüte
Herz: Lapsang‑Souchong‑Tee, Zimt, Ingwer
Basis: Tabak, Honig, Gaiac‑Holz, Vanille","würzig, rauchig, süß, gourmand, holzig","gemütlich, wärmend, exotisch",Teezeremonie am Kamin: Rauchiger Schwarztee mit Gewürzen und Honig,"Abend, Winterabende","Herbst, Winter",7–8 h,moderat,mischt rauchigen Lapsang‑Tee mit Tabak und Honig für einen chai‑ähnlichen Duft,L’Artisan Parfumeur,Tea for Two,,,Parfums Lubner,,
184,Jovoy Paris,Pavillon Rouge,Orientalisch,Leder / Spirituosen / Tabak,"Kopf: Gewürze, Whisky, Rum, Sesam
Herz: Tabak, Leder, Kaffee, Tee
Basis: Ebenholz, Benzoe, Vanille","boozy, holzig, ledrig, würzig, süß","gereift, rau, luxuriös","alte Seemannstaverne mit Whiskyfässern, Ledersesseln und süßem Tabak","Abend, Gentleman‑Bar","Herbst, Winter",8–9 h,stark,"reicher Rum‑Whisky‑Akkord mit dunklem Leder, Kaffee und Vanille",Jovoy Paris,Pavillon Rouge,0.40,"etwas kuenstlich ledrig, kuenstlich suess, kirschig, das viel zu prominente leder gefaellt gar nicht","50ml, tryasample",,
185,Zoologist Perfumes,Rhinoceros (2020),Ledrig,Harzig / Spirituosen / Tabak,"Kopf: Whisky, Basilikum, Kaffee, Rosa Pfeffer, Rum
Herz: Tabak‑Absolue, Weihrauch, Süßgras, Leder, Ylang‑Ylang
Basis: Nagarmotha, Amber, Laotischer Oud, Eichenmoos, Patchouli","rauchig, ledrig, würzig, erdig, boozy","kraftvoll, animalisch, robust","einsamer Ranger am Lagerfeuer in der Savanne; Leder, Whisky und Rauch","Abend, Statement","Herbst, Winter",10 h+,sehr stark,"„Nashorn“‑Duft mit explosiver Projektion; vereint Whisky, Kaffee und Oud",Zoologist Perfumes,Rhinoceros (2020),,,tryasample,,
